sweep,downstream,selection_metric,selection_epoch,selected_final_downstream,oracle,first_epoch_in_band
simclr-tau,linear_probe,rankme,178,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,179,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,182,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,183,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,184,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,187,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,189,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,190,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,191,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,192,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,193,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,195,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,197,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,198,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,199,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,201,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,202,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,203,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,204,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,205,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,206,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,208,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,209,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,210,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,211,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,212,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,215,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,217,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,218,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,219,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,221,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,223,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,224,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,226,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,228,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,229,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,230,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,231,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,233,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,234,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,235,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,236,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,239,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,240,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,241,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,242,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,244,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,245,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,246,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,247,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,249,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,250,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,251,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,252,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,253,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,255,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,260,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,261,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,263,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,264,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,265,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,267,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,268,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,269,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,270,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,271,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,274,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,275,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,277,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,278,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,280,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,282,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,283,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,284,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,286,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,287,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,289,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,290,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,291,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,292,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,293,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,294,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,296,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,298,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,299,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rerankme,0,0.8435999751091003,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,1,0.8389999866485596,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,2,0.8389999866485596,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,3,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,4,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,6,0.8312000036239624,0.8435999751091003,0
