sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,92,rankme,7,-0.91,-1.0,-0.9342,-0.9643,-0.9023,-0.8929
simclr-tau,92,rerankme,7,0.7909,0.3929,0.7734,0.4286,0.6189,0.5714
simclr-tau,95,rankme,7,-0.9043,-1.0,-0.9281,-0.9643,-0.8973,-0.8929
simclr-tau,95,rerankme,7,0.7943,0.3929,0.7771,0.4286,0.6153,0.5714
simclr-tau,97,rankme,7,-0.9088,-1.0,-0.9324,-0.9643,-0.8985,-0.8929
simclr-tau,97,rerankme,7,0.8059,0.3929,0.7919,0.4286,0.6253,0.5714
simclr-tau,99,rankme,7,-0.9055,-1.0,-0.9296,-0.9643,-0.9005,-0.8929
simclr-tau,99,rerankme,7,0.7901,0.3929,0.7786,0.4286,0.6249,0.5714
simclr-tau,101,rankme,7,-0.9018,-1.0,-0.9274,-0.9643,-0.8892,-0.8929
simclr-tau,101,rerankme,7,0.8005,0.3929,0.7861,0.4286,0.6249,0.5714
simclr-tau,103,rankme,7,-0.9056,-1.0,-0.9289,-0.9643,-0.8988,-0.8929
simclr-tau,103,rerankme,7,0.7951,0.3929,0.7819,0.4286,0.6227,0.5714
simclr-tau,104,rankme,7,-0.9069,-1.0,-0.93,-0.9643,-0.8965,-0.8929
simclr-tau,104,rerankme,7,0.7931,0.3929,0.7794,0.4286,0.6218,0.5714
simclr-tau,107,rankme,7,-0.9059,-1.0,-0.9286,-0.9643,-0.9061,-0.8929
simclr-tau,107,rerankme,7,0.7892,0.5,0.7782,0.5714,0.6183,0.6071
simclr-tau,108,rankme,7,-0.9096,-1.0,-0.9326,-0.9643,-0.9025,-0.8929
simclr-tau,108,rerankme,7,0.7983,0.3929,0.784,0.4286,0.6223,0.5714
simclr-tau,110,rankme,7,-0.9043,-1.0,-0.9268,-0.9643,-0.8929,-0.8929
simclr-tau,110,rerankme,7,0.7851,0.3929,0.7691,0.4286,0.6122,0.5714
simclr-tau,111,rankme,7,-0.9043,-1.0,-0.9291,-0.9643,-0.8992,-0.8929
simclr-tau,111,rerankme,7,0.8037,0.5,0.7913,0.5714,0.6303,0.6071
simclr-tau,112,rankme,7,-0.9045,-1.0,-0.928,-0.9643,-0.8973,-0.8929
simclr-tau,112,rerankme,7,0.816,0.3929,0.8012,0.4286,0.6396,0.5714
simclr-tau,113,rankme,7,-0.9026,-1.0,-0.9271,-0.9643,-0.8906,-0.8929
simclr-tau,113,rerankme,7,0.796,0.3929,0.7814,0.4286,0.6187,0.5714
simclr-tau,114,rankme,7,-0.9051,-1.0,-0.9268,-0.9643,-0.8983,-0.8929
simclr-tau,114,rerankme,7,0.8006,0.3929,0.7885,0.4286,0.6338,0.5714
simclr-tau,115,rankme,7,-0.8942,-1.0,-0.9196,-0.9643,-0.8924,-0.8929
